name_a,name_b,score
brown sugar,sugar,0.0299
chocolate,shortening,0.1549
basil,bread,0.0739
basil,olive oil,0.2677
bread,olive oil,0.0416
allspice,cinnamon,0.3611
allspice,sugar,0.0765
allspice,vanilla,0.0738
cinnamon,pear,0.1113
pear,sugar,0.0119
pear,vanilla,-0.0054
butter,lemon,0.0054
butter,lobster,0.1044
lemon,lobster,0.0854
lobster,parmesan cheese,0.0902
garlic,pork,0.1218
garlic,sesame,0.0326
pork,sesame,0.052
pork,soy sauce,0.2652
pork,spinach,-0.0846
pork,sugar,-0.169
sesame,soy sauce,0.3928
sesame,spinach,0.0562
sesame,sugar,-0.0222
soy sauce,spinach,-0.018
soy sauce,sugar,-0.046
spinach,sugar,-0.2385
lemon,sugar,0.0477
chicken,honey,-0.0096
chicken,mustard,0.0159
milk,popcorn,-0.1425
garlic,sauce,0.1235
onion,sauce,0.1216
pasta,sauce,0.0691
pepper,sauce,0.1073
brown sugar,cinnamon,0.3477
brown sugar,egg,0.1422
cinnamon,egg,0.1369
cinnamon,shortening,0.1443
egg,shortening,0.1747
shortening,vanilla,0.239
chocolate,coconut,0.1372
chocolate,ginger,-0.2309
chocolate,honey,-0.0387
chocolate,molasses,-0.0459
chocolate,nutmeg,-0.0741
chocolate,oats,0.2032
chocolate,wheat,-0.0311
cinnamon,coconut,0.0933
cinnamon,ginger,0.2043
cinnamon,molasses,0.2561
cinnamon,nutmeg,0.4595
cinnamon,salt,0.1062
cinnamon,wheat,0.0702
coconut,ginger,0.1692
coconut,honey,0.1049
coconut,molasses,-0.0226
coconut,nutmeg,0.0213
coconut,oats,0.2455
coconut,salt,0.0387
coconut,vanilla,0.1844
coconut,wheat,0.0506
ginger,honey,0.146
ginger,molasses,0.3123
ginger,nutmeg,0.172
ginger,oats,-0.0407
ginger,salt,0.0426
ginger,vanilla,-0.0916
ginger,wheat,-0.0605
honey,molasses,0.0978
honey,nutmeg,0.0477
honey,salt,0.0179
honey,wheat,0.1837
molasses,nutmeg,0.1854
molasses,oats,0.1469
molasses,vanilla,0.0653
molasses,wheat,0.1904
nutmeg,oats,0.1829
nutmeg,salt,0.1109
nutmeg,vanilla,0.1844
nutmeg,wheat,0.0446
oats,salt,0.1072
oats,wheat,0.2526
salt,wheat,0.0044
vanilla,wheat,0.0288
carrot,chili,0.0597
